swaps_id,swaps_timestamp,swaps_hash,swaps_to,swaps_from,swaps_tokenIn_id,swaps_tokenIn_name,swaps_tokenIn_symbol,swaps_tokenIn_decimals,swaps_tokenIn_lastPriceUSD,swaps_tokenIn_lastPriceBlockNumber,swaps_amountIn,swaps_amountInUSD,swaps_tokenOut_id,swaps_tokenOut_name,swaps_tokenOut_symbol,swaps_tokenOut_decimals,swaps_tokenOut_lastPriceUSD,swaps_tokenOut_lastPriceBlockNumber,swaps_amountOut,swaps_amountOutUSD,swaps_pool_name,dateTime,calDate
swap-0xfe36f2b94b026e77ebe5b07108f8eebe29a55e559afd1695adfe0706d0db9406-1,1671379955,0xfe36f2b94b026e77ebe5b07108f8eebe29a55e559afd1695adfe0706d0db9406,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x004697d208819b5670dada8cc18c2dfb260bdd74,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,85679231449,810.2142568596857,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,821071757579552318361,820.9453125288851,50OHM-50DAI,2022-12-18 16:12:35,2022-12-18
swap-0x888b14c200574d960c4c23527a09e4f9d7c06e3a3537a97968944fefe633abdb-102,1671362747,0x888b14c200574d960c4c23527a09e4f9d7c06e3a3537a97968944fefe633abdb,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x149d0f9282333681ee41d30589824b2798e9fb47,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,1204346188492,11388.73955343153,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,11482139280397167313259,11480.371030947987,50OHM-50DAI,2022-12-18 11:25:47,2022-12-18
swap-0x43d84b12e89f3e0b7c045ff7c059e58efca58f75820fcf2b59df11df63f4453e-25,1671355631,0x43d84b12e89f3e0b7c045ff7c059e58efca58f75820fcf2b59df11df63f4453e,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xba6182d52ac7ae73e5533f90740d945f0c0ba0c3,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,776709156514,7344.846836256825,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,7427876521710032147094,7426.732628725689,50OHM-50DAI,2022-12-18 09:27:11,2022-12-18
swap-0xea51e108a2a8818da7e632e131e91e3dd93d08096a6f92cec2e39532caa2f1d2-63,1671347879,0xea51e108a2a8818da7e632e131e91e3dd93d08096a6f92cec2e39532caa2f1d2,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x38e7c55f720534cd747040f73be82e42f1c094bd,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,521941599842,4935.671320673094,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,4995535521544547772859,4994.76620907423,50OHM-50DAI,2022-12-18 07:17:59,2022-12-18
swap-0x5ebb0da296e901b29a51fa95a32c6a47f3a24f294399f85d8dbdb41f2909c86d-220,1671338567,0x5ebb0da296e901b29a51fa95a32c6a47f3a24f294399f85d8dbdb41f2909c86d,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,24835213916,234.85089731320318,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,237780141360337349973,237.68074926124874,50OHM-50DAI,2022-12-18 04:42:47,2022-12-18
swap-0x61428ddad50e9a2f88d675675451c5c95c74f89d6e2b3e0a7981fdd7dcdbf13f-7,1671335447,0x61428ddad50e9a2f88d675675451c5c95c74f89d6e2b3e0a7981fdd7dcdbf13f,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x05429d641a61eb2c6093905784d2e8c9b5a193c8,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,66052027651,624.6122145620039,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,631808666911003728888,631.544570888235,50OHM-50DAI,2022-12-18 03:50:47,2022-12-18
swap-0x9243209176fa67bc995b337ff84a6bcb36f24c5e8f61d589dbf6499c632e2d21-0,1671311735,0x9243209176fa67bc995b337ff84a6bcb36f24c5e8f61d589dbf6499c632e2d21,0xc45d42f801105e861e86658648e3678ad7aa70f9,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,981498119,9.281406423073673,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,9370615936190351774,9.366699018729024,50OHM-25DAI-25WETH,2022-12-17 21:15:35,2022-12-17
swap-0x0ee634c27fcfc8f4aae2c18755fee75848c5225ee4c28a4fa2742f0465787bd5-211,1671288011,0x0ee634c27fcfc8f4aae2c18755fee75848c5225ee4c28a4fa2742f0465787bd5,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x3cee8c7d9b5c8f225a8c36e7d3514e1860309651,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,517305375812,4942.473163737814,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,4935190029822218032024,4933.127120389752,50OHM-50DAI,2022-12-17 14:40:11,2022-12-17
swap-0xbc2b308b802fa7c4b76f30764b96fe4c62d3585fa823bb48b0c773f889d2e052-13,1671244007,0xbc2b308b802fa7c4b76f30764b96fe4c62d3585fa823bb48b0c773f889d2e052,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x524cfae2daab901234c842f3a17235902b0f01f9,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,512488637833,4896.452767834146,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,4899157582576231253595,4900.06882588659,50OHM-50DAI,2022-12-17 02:26:47,2022-12-17
swap-0x6a03d7b6ccc09b67f6d2c426923f557892a286ebd4722c2fee80f39f21b66897-2,1671231755,0x6a03d7b6ccc09b67f6d2c426923f557892a286ebd4722c2fee80f39f21b66897,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xced000136b3cad69a6497709b8897dfdb6903cbb,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,1202426010910,11488.297953553041,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,11492322050922599141960,11494.459622824072,50OHM-50DAI,2022-12-16 23:02:35,2022-12-16
